sector,subsector,component,unit,year,value,datatype
External sector,Tourism,Tourism Receipts,"Million USD, Level",2022,400.2,Actual
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2022,4.4,Actual
Debt sector,Debt,Central government debt,Percentage of GDP,2022,51,Actual
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2022,12.9,Actual
Debt sector,Debt,Central government external debt,Percentage of GDP,2022,38.5,Actual
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2022,3102.2,Actual
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2022,25.1,Actual
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2022,1876.773591,Actual
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2022,15.2,Actual
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2022,824.2,Actual
Fiscal sector,Revenue,Grants,Percentage of GDP,2022,6.7,Actual
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2022,4061.1,Actual
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2022,32.9,Actual
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2022,2467.9,Actual
Fiscal sector,Expenditure,Expense,Percentage of GDP,2022,20,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2022,-958.9,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2022,-9.3,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2022,-16.17,Actual
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2022,3509,Actual
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2022,23,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2022,3101,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2022,13.6,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2022,1081.34,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2022,100,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Level",2022,1033,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2022,4,Actual
Other memo items,Population,Population,"Million, Level",2022,13.2,Actual
Other memo items,Population,Annual change in population,%,2022,1.6,Actual
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2022,1038,Actual
Other memo items,Laborforce,Employement to population,"Ratio, percent",2022,41.3305433,Actual
Other memo items,Laborforce,Working age population,16+ years,2022,7424204,Actual
Other memo items,Laborforce,Labour force participation rate,%,2022,63.6,Actual
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2023,17176,Actual
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2023,14704,Actual
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2023,11461,Actual
Real Sector,GDP and components,Agriculture GDP,Constant prices,2023,2502,Actual
Real Sector,GDP and components,Industry GDP,Constant prices,2023,2114,Actual
Real Sector,GDP and components,Services,Constant prices,2023,5767,Actual
Real Sector,Inflation and other prices,GDP deflator,Percentage,2023,11.7,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2023,6.4,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2023,14,Actual
Real Sector,GDP and components,Total investment,Percentage of GDP,2023,34.7,Actual
Real Sector,GDP and components,Government investment,Percetange of GDP,2023,8.2,Actual
Real Sector,GDP and components,Private Investment,Percentage of GDP,2023,26.5,Actual
Real Sector,GDP and components,National savings,Percentage of GDP,2023,24,Actual
Real Sector,GDP and components,Government savings,Percetange of GDP,2023,0.4,Actual
Real Sector,GDP and components,Private savings,Percentage of GDP,2023,23.6,Actual
External sector,Exports,Exports of goods,"Million USD, Level",2023,2466.5,Actual
External sector,Exports,Exports of services,"Million USD, Level",2023,1057,Actual
External sector,Exports,Exports of goods & services,"Million USD, Level",2023,3524,Actual
External sector,Exports,Exports of goods & services,Percentage of GDP,2023,24,Actual
External sector,Imports,Imports of goods,"Million USD, Level",2023,4834.7,Actual
External sector,Imports,Imports of services,"Million USD,Level",2023,956.1,Actual
External sector,Imports,Imports of goods & services,"Million USD, Level",2023,5791,Actual
External sector,Imports,Imports of goods & services,Percentage of GDP,2023,39.4,Actual
External sector,Trade balance,Trade balance,"Million USD, Level",2023,-2368,Actual
External sector,Trade balance,Trade balance,Percentage of GDP,2023,-16.1,Actual
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2023,-1665,Actual
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2023,-11.3,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2023,457.6,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2023,3.1,Actual
External sector,Tourism,Tourism Receipts,Percentage of GDP,2023,3.84,Actual
External sector,Tourism,Tourism Receipts,"Million USD, Level",2023,563.9,Actual
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2023,4.5,Actual
Debt sector,Debt,Central government debt,Percentage of GDP,2023,62,Actual
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2023,11.7,Actual
Debt sector,Debt,Central government external debt,Percentage of GDP,2023,49.9,Actual
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2023,3399.6,Actual
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2023,21.5,Actual
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2023,2287.371797,Actual
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2023,14.5,Actual
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2023,711.3,Actual
Fiscal sector,Revenue,Grants,Percentage of GDP,2023,4.5,Actual
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2023,4375.1,Actual
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2023,27.7,Actual
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2023,2856.7,Actual
Fiscal sector,Expenditure,Expense,Percentage of GDP,2023,18.1,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2023,-975.6,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2023,-7.3,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2023,-11.96,Actual
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2023,4377,Actual
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2023,25,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2023,3682,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2023,19.9,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2023,1250.46,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2023,16,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Level",2023,1168,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2023,13,Actual
Other memo items,Population,Population,"Million, Level",2023,13.5,Actual
Other memo items,Population,Annual change in population,%,2023,2.2,Actual
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2023,1089,Actual
Other memo items,Laborforce,Employement to population,"Ratio, percent",2023,39.97233741,Actual
Other memo items,Laborforce,Working age population,16+ years,2023,7634209,Actual
Other memo items,Laborforce,Labour force participation rate,%,2023,64.2,Actual
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2024,19918,Actual
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2024,15058,Actual
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2024,12480,Actual
Real Sector,GDP and components,Agriculture GDP,Constant prices,2024,2635,Actual
Real Sector,GDP and components,Industry GDP,Constant prices,2024,2325,Actual
Real Sector,GDP and components,Services,Constant prices,2024,6363,Actual
Real Sector,Inflation and other prices,GDP deflator,Percentage,2024,8.2,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2024,6.8,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2024,4.8,Actual
Real Sector,GDP and components,Total investment,Percentage of GDP,2024,34.7,Actual
Real Sector,GDP and components,Government investment,Percetange of GDP,2024,7.5,Actual
Real Sector,GDP and components,Private Investment,Percentage of GDP,2024,27.2,Actual
Real Sector,GDP and components,National savings,Percentage of GDP,2024,22.8,Actual
Real Sector,GDP and components,Government savings,Percetange of GDP,2024,0.7,Actual
Real Sector,GDP and components,Private savings,Percentage of GDP,2024,22.1,Actual
External sector,Exports,Exports of goods,"Million USD, Level",2024,3201.6,Actual
External sector,Exports,Exports of services,"Million USD, Level",2024,1095.6,Actual
External sector,Exports,Exports of goods & services,"Million USD, Level",2024,4297,Actual
External sector,Exports,Exports of goods & services,Percentage of GDP,2024,28.5,Actual
External sector,Imports,Imports of goods,"Million USD, Level",2024,5545.4,Actual
External sector,Imports,Imports of services,"Million USD,Level",2024,1005.5,Actual
External sector,Imports,Imports of goods & services,"Million USD, Level",2024,6551,Actual
External sector,Imports,Imports of goods & services,Percentage of GDP,2024,43.5,Actual
External sector,Trade balance,Trade balance,"Million USD, Level",2024,-2344,Actual
External sector,Trade balance,Trade balance,Percentage of GDP,2024,-15.6,Actual
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2024,-1815,Actual
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2024,-12.1,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2024,572.9,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2024,3.8,Actual
External sector,Tourism,Tourism Receipts,Percentage of GDP,2024,3.85,Actual
External sector,Tourism,Tourism Receipts,"Million USD, Level",2024,579.5,Actual
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2024,5.5,Actual
Debt sector,Debt,Central government debt,Percentage of GDP,2024,72,Actual
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2024,12.5,Actual
Debt sector,Debt,Central government external debt,Percentage of GDP,2024,59,Actual
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2024,3811.1,Actual
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2024,20.7,Actual
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2024,2593.321524,Actual
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2024,14.1,Actual
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2024,757.8,Actual
Fiscal sector,Revenue,Grants,Percentage of GDP,2024,4.1,Actual
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2024,4927.9,Actual
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2024,26.8,Actual
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2024,3172.9,Actual
Fiscal sector,Expenditure,Expense,Percentage of GDP,2024,17.3,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2024,-1116.8,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2024,-6.9,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2024,-11.19,Actual
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2024,5199,Actual
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2024,19,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2024,4228,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2024,14.3,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2024,1287.19,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2024,3,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Level",2024,1323,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2024,13,Actual
Other memo items,Population,Population,"Million, Level",2024,13.8,Actual
Other memo items,Population,Annual change in population,%,2024,2.2,Actual
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2024,1091,Actual
Other memo items,Laborforce,Employement to population,"Ratio, percent",2024,54.63181817,Actual
Other memo items,Laborforce,Working age population,16+ years,2024,7856801,Actual
Other memo items,Laborforce,Labour force participation rate,%,2024,68.4,Actual
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2025,22817,Actual
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2025,16080,Actual
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2025,13371,Actual
Real Sector,GDP and components,Agriculture GDP,Constant prices,2025,2775,Actual
Real Sector,GDP and components,Industry GDP,Constant prices,2025,2563,Actual
Real Sector,GDP and components,Services,Constant prices,2025,6782,Actual
Real Sector,Inflation and other prices,GDP deflator,Percentage,2025,7.1,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2025,7.5,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2025,7.1,Actual
Real Sector,GDP and components,Total investment,Percentage of GDP,2025,33.7,Actual
Real Sector,GDP and components,Government investment,Percetange of GDP,2025,6.9,Actual
Real Sector,GDP and components,Private Investment,Percentage of GDP,2025,26.9,Actual
Real Sector,GDP and components,National savings,Percentage of GDP,2025,22.3,Actual
Real Sector,GDP and components,Government savings,Percetange of GDP,2025,-1.2,Actual
Real Sector,GDP and components,Private savings,Percentage of GDP,2025,23.5,Actual
External sector,Exports,Exports of goods,"Million USD, Level",2025,3071.8,Actual
External sector,Exports,Exports of services,"Million USD, Level",2025,1157.2,Actual
External sector,Exports,Exports of goods & services,"Million USD, Level",2025,4229,Actual
External sector,Exports,Exports of goods & services,Percentage of GDP,2025,26.3,Actual
External sector,Imports,Imports of goods,"Million USD, Level",2025,5548.5,Actual
External sector,Imports,Imports of services,"Million USD,Level",2025,1116.7,Actual
External sector,Imports,Imports of goods & services,"Million USD, Level",2025,6665,Actual
External sector,Imports,Imports of goods & services,Percentage of GDP,2025,41.5,Actual
External sector,Trade balance,Trade balance,"Million USD, Level",2025,-2477,Actual
External sector,Trade balance,Trade balance,Percentage of GDP,2025,-15.4,Actual
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2025,-2069,Actual
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2025,-12.9,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2025,567,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2025,3.5,Actual
External sector,Tourism,Tourism Receipts,Percentage of GDP,2025,3.93,Actual
External sector,Tourism,Tourism Receipts,"Million USD, Level",2025,631.6,Actual
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2025,4.1,Actual
Debt sector,Debt,Central government debt,Percentage of GDP,2025,71.8,Actual
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2025,13.4,Actual
Debt sector,Debt,Central government external debt,Percentage of GDP,2025,58.4,Actual
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2025,4174,Actual
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2025,19.4,Actual
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2025,3106.4,Actual
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2025,14.2,Actual
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2025,614.6,Actual
Fiscal sector,Revenue,Grants,Percentage of GDP,2025,2.9,Actual
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2025,5188.3,Actual
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2025,24.1,Actual
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2025,3416.8,Actual
Fiscal sector,Expenditure,Expense,Percentage of GDP,2025,15.9,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2025,-1014.4,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2025,-5.5,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2025,-8.58,Actual
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2025,5961,Actual
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2025,15,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2025,4977,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2025,17.3,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2025,1676.05,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2025,30,Actual
Monetary sector,Exchange rate,Exchange rate,RWF/USD,2025,1419,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2025,7,Actual
Other memo items,Population,Population,"Million, Level",2025,14.1,Actual
Other memo items,Population,Annual change in population,%,2025,2.2,Actual
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2025,1140,Actual
Other memo items,Laborforce,Employement to population,"Ratio, percent",2025,,Actual
Other memo items,Laborforce,Working age population,16+ years,2025,,Actual
Other memo items,Laborforce,Labour force participation rate,%,2025,,Actual
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2026,26010,Projection
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2026,17499,Projection
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2026,14367,Projection
Real Sector,GDP and components,Agriculture GDP,Constant prices,2026,2926,Projection
Real Sector,GDP and components,Industry GDP,Constant prices,2026,2872,Projection
Real Sector,GDP and components,Services,Constant prices,2026,7235,Projection
Real Sector,Inflation and other prices,GDP deflator,Percentage,2026,6.3,Projection
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2026,3.7,Projection
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2026,5.6,Projection
Real Sector,GDP and components,Total investment,Percentage of GDP,2026,34.7,Projection
Real Sector,GDP and components,Government investment,Percetange of GDP,2026,6.9,Projection
Real Sector,GDP and components,Private Investment,Percentage of GDP,2026,27.8,Projection
Real Sector,GDP and components,National savings,Percentage of GDP,2026,21.5,Projection
Real Sector,GDP and components,Government savings,Percetange of GDP,2026,-0.6,Projection
Real Sector,GDP and components,Private savings,Percentage of GDP,2026,22.2,Projection
External sector,Exports,Exports of goods,"Million USD, Level",2026,3595.4,Projection
External sector,Exports,Exports of services,"Million USD, Level",2026,1226.2,Projection
External sector,Exports,Exports of goods & services,"Million USD, Level",2026,4822,Projection
External sector,Exports,Exports of goods & services,Percentage of GDP,2026,27.6,Projection
External sector,Imports,Imports of goods,"Million USD, Level",2026,6190,Projection
External sector,Imports,Imports of services,"Million USD,Level",2026,1226.4,Projection
External sector,Imports,Imports of goods & services,"Million USD, Level",2026,7416,Projection
External sector,Imports,Imports of goods & services,Percentage of GDP,2026,42.4,Projection
External sector,Trade balance,Trade balance,"Million USD, Level",2026,-2595,Projection
External sector,Trade balance,Trade balance,Percentage of GDP,2026,-14.8,Projection
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2026,-2321,Projection
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2026,-13.3,Projection
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2026,1071.7,Projection
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2026,6.1,Projection
External sector,Tourism,Tourism Receipts,Percentage of GDP,2026,3.93,Projection
External sector,Tourism,Tourism Receipts,"Million USD, Level",2026,688.5,Projection
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2026,4.8,Projection
Debt sector,Debt,Central government debt,Percentage of GDP,2026,74.7,Projection
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2026,13.7,Projection
Debt sector,Debt,Central government external debt,Percentage of GDP,2026,61,Projection
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2026,4952.9,Projection
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2026,20.3,Projection
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2026,3708.2,Projection
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2026,15.3,Projection
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2026,649.6,Projection
Fiscal sector,Revenue,Grants,Percentage of GDP,2026,2.7,Projection
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2026,5773.4,Projection
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2026,23.6,Projection
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2026,3853.9,Projection
Fiscal sector,Expenditure,Expense,Percentage of GDP,2026,15.8,Projection
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2026,-820.6,Projection
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2026,-7.4,Projection
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2026,-9.96,Projection
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2026,7123,Projection
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2026,19,Projection
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2026,5855,Projection
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2026,17.2,Projection
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2026,1437.38,Projection
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2026,-14,Projection
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Level",2026,1502,Projection
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2026,6,Projection
Other memo items,Population,Population,"Million, Level",2026,14.4,Projection
Other memo items,Population,Annual change in population,%,2026,2.2,Projection
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2026,1214,Projection
Other memo items,Laborforce,Employement to population,"Ratio, percent",2026,,Projection
Other memo items,Laborforce,Working age population,16+ years,2026,,Projection
Other memo items,Laborforce,Labour force participation rate,%,2026,,Projection
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2027,29374,Projection
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2027,19014,Projection
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2027,15434,Projection
Real Sector,GDP and components,Agriculture GDP,Constant prices,2027,3088,Projection
Real Sector,GDP and components,Industry GDP,Constant prices,2027,3197,Projection
Real Sector,GDP and components,Services,Constant prices,2027,7723,Projection
Real Sector,Inflation and other prices,GDP deflator,Percentage,2027,5,Projection
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2027,5,Projection
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2027,4.4,Projection
Real Sector,GDP and components,Total investment,Percentage of GDP,2027,33.6,Projection
Real Sector,GDP and components,Government investment,Percetange of GDP,2027,7.1,Projection
Real Sector,GDP and components,Private Investment,Percentage of GDP,2027,26.5,Projection
Real Sector,GDP and components,National savings,Percentage of GDP,2027,20.6,Projection
Real Sector,GDP and components,Government savings,Percetange of GDP,2027,0.6,Projection
Real Sector,GDP and components,Private savings,Percentage of GDP,2027,19.9,Projection
External sector,Exports,Exports of goods,"Million USD, Level",2027,3968.7,Projection
External sector,Exports,Exports of services,"Million USD, Level",2027,1307.3,Projection
External sector,Exports,Exports of goods & services,"Million USD, Level",2027,5276,Projection
External sector,Exports,Exports of goods & services,Percentage of GDP,2027,27.7,Projection
External sector,Imports,Imports of goods,"Million USD, Level",2027,6413.7,Projection
External sector,Imports,Imports of services,"Million USD,Level",2027,1256.6,Projection
External sector,Imports,Imports of goods & services,"Million USD, Level",2027,7670,Projection
External sector,Imports,Imports of goods & services,Percentage of GDP,2027,40.3,Projection
External sector,Trade balance,Trade balance,"Million USD, Level",2027,-2445,Projection
External sector,Trade balance,Trade balance,Percentage of GDP,2027,-12.9,Projection
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2027,-2156,Projection
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2027,-11.3,Projection
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2027,1172.3,Projection
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2027,6.2,Projection
External sector,Tourism,Tourism Receipts,Percentage of GDP,2027,3.95,Projection
External sector,Tourism,Tourism Receipts,"Million USD, Level",2027,750.4,Projection
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2027,5.1,Projection
Debt sector,Debt,Central government debt,Percentage of GDP,2027,75.1,Projection
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2027,13.9,Projection
Debt sector,Debt,Central government external debt,Percentage of GDP,2027,61.2,Projection
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2027,5706.6,Projection
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2027,20.6,Projection
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2027,4437.9,Projection
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2027,16.2,Projection
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2027,615.7,Projection
Fiscal sector,Revenue,Grants,Percentage of GDP,2027,2.2,Projection
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2027,6539.1,Projection
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2027,23.6,Projection
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2027,4343.7,Projection
Fiscal sector,Expenditure,Expense,Percentage of GDP,2027,15.7,Projection
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2027,-832.5,Projection
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2027,-5.4,Projection
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2027,-8.03,Projection
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2027,8463,Projection
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2027,19,Projection
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2027,6931,Projection
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2027,18,Projection
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2027,1586.03,Projection
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2027,10,Projection
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Level",2027,1596,Projection
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2027,6,Projection
Other memo items,Population,Population,"Million, Level",2027,14.7,Projection
Other memo items,Population,Annual change in population,%,2027,2.2,Projection
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2027,1290,Projection
Other memo items,Laborforce,Employement to population,"Ratio, percent",2027,,Projection
Other memo items,Laborforce,Working age population,16+ years,2027,,Projection
Other memo items,Laborforce,Labour force participation rate,%,2027,,Projection
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2028,32919,Projection
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2028,20653,Projection
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2028,16511,Projection
Real Sector,GDP and components,Agriculture GDP,Constant prices,2028,3259,Projection
Real Sector,GDP and components,Industry GDP,Constant prices,2028,3491,Projection
Real Sector,GDP and components,Services,Constant prices,2028,8245,Projection
Real Sector,Inflation and other prices,GDP deflator,Percentage,2028,5,Projection
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2028,5,Projection
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2028,5,Projection
Real Sector,GDP and components,Total investment,Percentage of GDP,2028,31.5,Projection
Real Sector,GDP and components,Government investment,Percetange of GDP,2028,7.3,Projection
